"filename", "language", "TypeScript JSX", "JavaScript", "TypeScript", "CSS", "comment", "blank", "total"
"c:\planool\planool_client\src\controllers\PlanEditorController\index.tsx", "TypeScript JSX", 212, 0, 0, 0, 0, 63, 275
"c:\planool\planool_client\src\controllers\PlanEditorController\types.ts", "TypeScript", 0, 0, 27, 0, 0, 4, 31
"c:\planool\planool_client\src\controllers\SocketController\index.tsx", "TypeScript JSX", 166, 0, 0, 0, 0, 51, 217
"c:\planool\planool_client\src\controllers\SocketController\types.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"c:\planool\planool_client\src\controllers\ToastController\index.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 12, 74
"c:\planool\planool_client\src\controllers\ToastController\styles.module.css", "CSS", 0, 0, 0, 63, 0, 6, 69
"c:\planool\planool_client\src\handlers\errorHandlers.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 17
"c:\planool\planool_client\src\hooks\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 2, 8
"c:\planool\planool_client\src\hooks\useAnimatedState.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 9, 31
"c:\planool\planool_client\src\index.css", "CSS", 0, 0, 0, 35, 0, 4, 39
"c:\planool\planool_client\src\index.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\planool\planool_client\src\services\plans.js", "JavaScript", 0, 12, 0, 0, 0, 3, 15
"c:\planool\planool_client\src\services\users.js", "JavaScript", 0, 40, 0, 0, 0, 7, 47
"c:\planool\planool_client\src\services\utilities.js", "JavaScript", 0, 22, 0, 0, 0, 4, 26
"c:\planool\planool_client\src\typings.d.ts", "TypeScript", 0, 0, 1, 0, 0, 1, 2
"c:\planool\planool_client\src\validate.js", "JavaScript", 0, 8, 0, 0, 0, 3, 11
"Total", "-", 1516, 99, 238, 786, 0, 534, 3173
